City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,christchurch,-43.5333,172.6333,46.9,79,100,4.61,NZ,1692387166
1,papatowai,-46.5619,169.4708,44.92,80,100,16.02,NZ,1692387218
2,grytviken,-54.2811,-36.5092,18.36,82,14,13.13,GS,1692387218
3,aykhal,66.0,111.5,48.33,73,0,14.09,RU,1692387218
4,mangrol,21.1167,70.1167,79.74,80,100,12.24,IN,1692387219
5,aktau,43.65,51.2,77.58,65,0,9.75,KZ,1692387219
6,wailua homesteads,22.0669,-159.378,83.19,76,40,13.8,US,1692387219
7,remire-montjoly,4.9167,-52.2667,89.64,70,0,13.8,GF,1692387220
8,stanley,54.868,-1.6985,60.78,93,75,12.66,GB,1692387220
9,ebon,4.582,168.6964,82.89,73,100,5.28,MH,1692387221
10,port lincoln,-34.7333,135.8667,56.62,85,75,13.69,AU,1692387221
11,severo-yeniseyskiy,60.3725,93.0408,49.66,86,100,3.4,RU,1692387221
12,aasiaat,68.7098,-52.8699,38.75,81,15,2.53,GL,1692387221
13,chonchi,-42.6128,-73.8092,51.12,69,86,4.45,CL,1692387222
14,jamestown,42.097,-79.2353,64.54,65,100,16.11,US,1692387170
15,edinburgh of the seven seas,-37.0676,-12.3116,53.98,67,100,31.47,SH,1692387222
16,caleta de carquin,-11.0925,-77.6267,69.28,72,12,13.27,PE,1692387222
17,zavolzhsk,57.4823,42.1378,62.37,80,48,8.3,RU,1692387222
18,takoradi,4.8845,-1.7554,74.71,94,100,4.32,GH,1692387223
19,iskateley,67.6803,53.1512,48.58,76,78,24.18,RU,1692387223
20,college,64.8569,-147.8028,55.72,81,100,5.75,US,1692387223
21,adamstown,-25.066,-130.1015,62.31,51,93,17.31,PN,1692387224
22,nagqu,31.5,92.0,42.44,85,100,3.85,CN,1692387224
23,bam,29.106,58.357,83.39,7,0,8.84,IR,1692387224
24,pokachi,61.7198,75.3683,53.06,78,0,3.09,RU,1692387224
25,port-aux-francais,-49.35,70.2167,34.77,64,94,37.45,TF,1692387224
26,vanimo,-2.6741,141.3028,75.83,88,100,3.24,PG,1692387224
27,kollo,13.3043,2.339,86.43,53,6,10.74,NE,1692387225
28,whitehorse,60.7161,-135.0538,57.09,71,75,2.3,CA,1692387225
29,cabo san lucas,22.8909,-109.9124,84.51,82,100,13.8,MX,1692387168
30,fale old settlement,-9.3852,-171.2468,82.54,80,99,18.84,TK,1692387225
31,yung shue wan,22.2333,114.1167,85.75,87,84,9.62,HK,1692387226
32,constantia,44.1833,28.65,72.7,73,5,10.33,RO,1692387226
33,iqaluit,63.7506,-68.5145,40.73,100,100,23.0,CA,1692386989
34,cangzhou,38.3167,116.8667,76.86,89,89,4.09,CN,1692387226
35,bagua grande,-5.7561,-78.4411,95.4,34,21,6.06,PE,1692387227
36,masterton,-40.9597,175.6575,43.88,94,100,3.27,NZ,1692387227
37,kailua-kona,19.6406,-155.9956,88.59,71,20,14.97,US,1692387227
38,lebu,-37.6167,-73.65,51.35,67,100,9.73,CL,1692387228
39,lerwick,60.1545,-1.1494,57.2,92,0,15.43,GB,1692387228
40,tazovsky,67.4667,78.7,45.01,81,0,2.68,RU,1692387228
41,bilibino,68.0546,166.4372,40.73,82,48,4.07,RU,1692387228
42,east london,-33.0153,27.9116,59.79,69,73,14.94,ZA,1692387229
43,bredasdorp,-34.5322,20.0403,50.05,92,100,2.44,ZA,1692387229
44,horta,38.5333,-28.6333,77.02,65,20,13.8,PT,1692387229
45,colonia,50.9333,6.95,80.96,69,0,4.61,DE,1692387208
